City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
205,Emerald,AU,2020-04-05 19:33:19,-23.53,148.17,64.4,52,0,9.17,clear sky,0.0,0.0
206,Chaoyang,CN,2020-04-05 19:33:19,41.57,120.46,37.44,70,0,1.97,clear sky,0.0,0.0
207,Diourbel,SN,2020-04-05 19:33:19,14.66,-16.39,102.2,22,0,4.7,clear sky,0.0,0.0
208,Mangrol,IN,2020-04-05 19:33:19,21.12,70.12,77.18,67,0,8.57,clear sky,0.0,0.0
209,Genhe,CN,2020-04-05 19:33:20,50.78,121.52,20.26,80,26,6.42,scattered clouds,0.0,0.0
210,Hithadhoo,MV,2020-04-05 19:33:20,-0.6,73.08,82.96,75,6,6.98,light rain,2.09,0.0
211,Pombas,CV,2020-04-05 19:33:20,17.15,-25.02,75.2,64,20,21.92,few clouds,0.0,0.0
212,Tautira,PF,2020-04-05 19:32:09,-17.73,-149.15,87.8,70,1,17.22,light rain,0.32,0.0
213,Tebingtinggi,ID,2020-04-05 19:33:20,3.33,99.16,78.8,88,40,6.93,scattered clouds,0.0,0.0
214,Srikakulam,IN,2020-04-05 19:33:20,18.3,83.9,80.29,77,24,6.38,few clouds,0.0,0.0
215,Te Karaka,NZ,2020-04-05 19:33:20,-38.47,177.87,56.03,70,87,1.05,overcast clouds,0.0,0.0
216,Saint-Philippe,RE,2020-04-05 19:33:20,-21.36,55.77,77.0,73,21,6.93,light rain,0.14,0.0
217,Lompoc,US,2020-04-05 19:33:20,34.64,-120.46,57.2,82,100,10.29,light rain,0.0,0.0
218,Sumbe,AO,2020-04-05 19:33:20,-11.21,13.84,77.56,86,16,5.17,few clouds,0.0,0.0
219,Kangaba,ML,2020-04-05 19:33:21,11.93,-8.42,93.92,16,5,1.21,clear sky,0.0,0.0
220,Upernavik,GL,2020-04-05 19:33:21,72.79,-56.15,12.54,81,92,2.42,overcast clouds,0.0,0.0
221,Atbasar,KZ,2020-04-05 19:33:21,51.8,68.33,35.37,88,99,7.47,overcast clouds,0.0,0.0
222,Ojuelos De Jalisco,MX,2020-04-05 19:33:21,21.87,-101.58,81.97,9,39,16.4,scattered clouds,0.0,0.0
