City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
239,Sola,VU,2020-04-04 19:00:57,-13.88,167.55,77.0,100,90,28.86
240,Inyonga,TZ,2020-04-04 19:00:57,-6.72,32.07,66.24,67,35,2.46
241,Kumluca,TR,2020-04-04 18:56:37,36.37,30.29,61.68,50,100,8.88
242,Valparaiso,CL,2020-04-04 18:49:21,-33.04,-71.63,60.8,100,40,5.82
243,Avera,US,2020-04-04 18:56:41,33.19,-82.53,78.8,31,1,5.82
244,Kariba,ZW,2020-04-04 19:00:57,-16.52,28.8,71.58,60,31,4.18
245,San Quintin,MX,2020-04-04 18:49:50,30.48,-115.95,62.29,61,37,12.62
246,Beloha,MG,2020-04-04 18:56:08,-25.17,45.05,70.05,74,69,17.69
247,Sale,MA,2020-04-04 18:59:05,34.04,-6.82,64.4,82,40,6.93
248,Adrar,MR,2020-04-04 18:51:30,20.5,-10.07,92.14,9,0,8.32
249,Tura,IN,2020-04-04 18:51:09,25.52,90.22,69.64,20,0,2.44
250,Faya,SA,2020-04-04 18:51:15,18.39,42.45,68.0,68,5,6.93
251,Sindou,BF,2020-04-04 18:56:11,10.67,-5.17,99.79,19,79,2.53
252,Barrancas,CO,2020-04-04 19:00:58,10.96,-72.79,86.0,74,20,11.41
253,Genhe,CN,2020-04-04 19:00:58,50.78,121.52,23.59,75,0,3.42
254,Natchez,US,2020-04-04 18:57:28,31.56,-91.4,72.0,64,90,9.17
255,Georgetown,MY,2020-04-04 18:47:08,5.41,100.34,84.2,83,40,3.02
256,Mandalgovi,MN,2020-04-04 18:52:20,45.76,106.27,41.79,26,0,5.68
257,Cayenne,GF,2020-04-04 19:00:58,4.93,-52.33,87.8,62,20,16.11
258,Aksarayskiy,RU,2020-04-04 19:00:58,46.79,48.01,44.6,70,10,6.71
259,Tambacounda,SN,2020-04-04 19:00:58,13.75,-13.76,107.6,12,0,6.93
260,Moissac,FR,2020-04-04 19:00:58,44.1,1.09,64.0,39,0,3.36
261,Maneadero,MX,2020-04-04 19:00:59,31.72,-116.57,66.0,69,3,3.0
262,Talnakh,RU,2020-04-04 18:51:16,69.49,88.4,32.0,97,75,29.08
263,Namibe,AO,2020-04-04 19:00:59,-15.2,12.15,75.94,68,0,10.42
264,San Cristobal,VE,2020-04-04 18:54:07,7.77,-72.22,89.6,59,40,11.41
265,Aleppo,SY,2020-04-04 19:00:59,36.25,37.5,58.24,38,10,6.76
266,Mana,GF,2020-04-04 19:00:59,5.66,-53.78,85.06,69,64,11.9
267,Santiago Del Estero,AR,2020-04-04 19:00:07,-27.8,-64.26,78.4,38,0,11.36
